item_name,price,cost_price,category,in_stock,image_path
1k Bomb Ladu raghuram,320,150,Bomb Ladi,20,images/1kBombLaduraghuram.jpg
2k Bomb Ladi Mhakali,1060,520,Bomb Ladi,10,images/2kBombLadi.jpg
3 sound Rocket Queen,220,100,Rocket,32,images/3soundRocketQueen.jpg
12 star Chidambaram,310,145,Skyshot,20,images/12starChidambaram.jpg
12 Star Delight,220,100,Skyshot,20,images/12StarDelight.jpg
12 star mori chaap,300,140,Skyshot,19,images/12starmorichaap.jpg
28 crackling Chorsa,260,120,Kid's item,30,images/28cracklingChorsa.jpg
36 no Coloured Sparkles,104,42,Sparkles,30,images/36noColouredSparkles.jpg
240 shot peti,5620,2800,Skyshot,1,images/240shotpeti.jpg
300 bomb Ladi,220,100,Bomb Ladi,20,images/300bombLadi.jpg
555 cell bomb sutli,200,90,Bomb Ladi,30,images/555cellbombsutli.jpg
AXN chitr pitr,70,25,Kid's item,10,images/AXNchitrpitr.jpg
azad classic green sutli,240,110,Sutli,40,images/azadclassicgreensutli.jpg
Azad pooja k phool,240,110,Kid's item,9,images/Azadpoojakphool.jpg
Azim Rekha Color 100cm,380,180,Sparkles,9,images/AzimRekhaColor100cm.jpg
Baby Rocket ASR,80,30,Rocket,10,images/BabyRocketASR.jpg
Bagban Butterfly,220,100,Kid's item,40,images/BagbanButterfly.jpg
Bambara Spinner,280,130,Spinner,20,images/BambaraSpinner.jpg
BMW 2k Bomb Ladi,720,350,Bomb Ladi,5,images/BMW2kBombLadi.jpg
Cock Bijli Thaili,160,70,Thaili,20,images/CockBijliThaili.jpg
cock whistling wheel,314,147,Spinner,20,images/cockwhistlingwheel.jpg
Cornation Fifty fifty anar bomb,380,180,AnarBomb,20,images/CornationFiftyfiftyanarbomb.jpg
Cornation Nazi Green Sutli,280,130,Sutli,50,images/CornationNaziGreenSutli.jpg
Dancing Rider 25 shots,420,200,Skyshot,10,images/DancingRider25shots.jpg
Digital Bomb Sutli,400,190,Sutli,20,images/DigitalBombSutli.jpg
Disco Butterfly,188,84,Kid's item,30,images/DiscoButterfly.jpg
Ginni Betaab Sutli,130,55,Sutli,50,images/GinniBetaabSutli.jpg
Ginny 50 cm Sparkle,140,60,Sparkles,24,images/Ginny50cmSparkle.jpg
Ginny Ashoka FLower POt,180,80,Anar,30,images/GinnyAshokaFLowerPOt.jpg
Ginny Ground Spinner Deluxe,240,110,Spinner,10,images/GinnyGroundSpinnerDeluxe.jpg
Ginny Silver Rain torches,200,90,Pencil,10,images/GinnySilverRaintorches.jpg
Ginny Special Pencil,100,40,Pencil,10,images/GinnySpecialPencil.jpg
Grand 600 bomb ladi,420,200,Bomb Ladi,15,images/Grand600bombladi.jpg
Gravity kid's item,160,70,Kid's item,10,images/Gravitykid'sitem.jpg
Green 30 No sparkle Azad,96,38,Sparkles,50,images/Green30NosparkleAzad.jpg
Gudiya Gift Pack Flower Pot 4pcs Big,920,450,Anar,3,images/GudiyaGiftPackFlowerPot4pcsBig.jpg
Gudiya Gift Pack Flower Pot 4pcs Small,640,310,Anar,8,images/GudiyaGiftPackFlowerPot4pcsSmall.jpg
Gudiya Mini Pearl Anar 5pc,200,90,Anar,20,images/GudiyaMiniPearlAnar5pc.jpg
